いけないメイドには、お仕置きしないといけないな……	못난 메이드에게는 벌을 주지 않으면 안되겠지……
唇を舐め上げ、唾液をすすり、蕩けた瞳はまるで熱に浮かされたかのよう。	입술을 핥고 타액을 마시고, 녹아버린 눈동자는 열에 들뜬 것 같다.
ねぇ、もっと……アタシのこと、キスで溶かして……？　んっ、ちゅっ、ちゅぅ……	저기, 좀 더…… 나를 키스로 녹여줘……? ……
ちゅ、んっ、ちゅっ……じゅるっ、ちゅ、れろぉ…………すごい、キス……気持ちいいよぉ……	…… ………… 대단해, 키스…… 기분 좋아……
……このまましちゃう？	…… 이대로 할까?
だめ、んっ……だめよ、こんなところじゃ……恥ずかしいんだから……	안돼 …… 안돼, 이런 곳은…… 부끄러우니까……
エッチなキスは求めてきたのに？	야한 키스는 원했으면서?
だって……だって我慢できなかったんだもん……ねぇ、早くお部屋行こ？　もっといっぱい、キス以外のこともしていいからぁ……	그치만…… 그치만 참을 수 없었단 말야……저기, 빨리 방에 가자? 좀 더 잔뜩, 키스 말고 다른 걸 해도 좋으니까……
唇が離れてもその身をすり寄せてくる。	입술이 떨어져도 그 몸을 갖다대 온다.
ここで始めてしまうのも一興だけど、俺はひとまず部屋に急ぐのであった。	여기서 해 버리는 것도 흥미롭겠지만, 나는 일단 방으로 가는 것을 서두르는 것이었다.
ご主人様、ちょっと動かないでね……	주인님, 잠깐 움직이지 말아줘……
いいでしょ？　ご主人様のこと、ちゃんと気持ちよくしてあげるから……	괜찮지? 주인님을 확실히 기분 좋게 해줄테니까……
ちゅ……んちゅっ……れろぉっ……それにほら、ご主人様も、もう大きくしてるじゃない……	…… …… …… 그리고 봐, 주인님도 벌써 커져 있잖아……
シャワーまだなのに……	샤워 아직인데……
んちゅ、ちゅるぅ……たしかに、ちょっと……濃い味がするけど……ちゅっ……平気よ、こんぐらい……ん、ちゅぅぅ……	…… 확실히 조금…… 진한 맛이 나지만…… …… 괜찮아, 이정도는…………
それより、ご主人様の……熱くて、硬くて……やっぱり、素敵……ちゅ、ちゅっ……んっ……あむっ……	그거보다 주인님의 거기…… 뜨겁고 단단해서…… 역시 멋져…… …… …………
ちゅぷぷっ……んじゅ、ぢゅっ、ぢゅるぅっ……ね、気持ちよくなって、いいから……んちゅ、ちゅっ、じゅるっ……	…… …… 저기, 기분 좋아져도 되니까…………
ご主人様の……んちゅ、んっ……アタシが勝手に咥えるだけだからぁ…………んむっ、ちゅっ、ぢゅるるぅ……！	주인님의 거기…… …… 내가 마음대로 물고 있을 뿐이니까………… ……!
んじゅっ、んっ、んっ、じゅるっ……！　ごひゅじんひゃまの、先っぽからおひるれてきたぁ……んちっ、ちゅっ、ちゅぅぅぅ……	…… 주이니메 끄테서 뭐언가 나와써…… ……
ちゅるんっ、はぁ、はぁ、んぢゅ、ちゅぅ……あたひのおくひ、気持ひいい？　んちゅ、じゅ、はぁ、はぁ、ん、じゅるっ、んんっ！	…… 내 입안 기분 조아? ……!
ああ、気持ちいいよ……	아아, 기분 좋아……
んふっ、んじゅ、もっと、きもひよくなっへっ、はぁ、はぁっ！　んぢゅる、んんっ！　もっとぉっ……！	좀 더, 기분 조아져, 좀 더……!
腰が砕けそうな快感に、少し情けないけれど、すぐに精液が込み上げてくる。	허리가 부러질 것 같은 쾌감에, 좀 한심하지만 바로 정액이 울컥거려 온다.
んぢゅ、ぢゅっ、ぢゅるっ、ごひゅじんひゃまのっ、んぐ、あばれへる、んぢゅる、んっ、んっ、んじゅるるっ、あ、あたひのおくひに、らひてぇ！	……주인니메 날뛰는 정자들 내 입안에 싸줘!
ごひゅじんひゃまのっ、せいえひ、あたひに、のまへて、んぢゅぅぅっ！　いっぱいらひてぇっ、んっ、んじゅっ、んじゅっ、んっ、んんんっ！	주이니메 정액 가득 싸줘 ……
んじゅ、んっ、んぅううううっ……！　んくっ……んっ……ぢゅるっ、れろぉ……れたぁ……ごひゅじんひゃまの……あふいの……ちゅるっ……	…… …… …… ……나와써…… 주인니메…… 뜨거운…… ……
ん、んん……んくっ、ん…………はぁ、はぁ……の、飲んじゃった……んぅ……	…… ………… 하아, 하아…… 머, 먹어 버렸어…… ……
んくっ……ど、どうしよう……ご主人様の、精液飲んだら、アタシ……んっ……やだ、身体疼いてきちゃったぁ……	…… 어, 어쩌지…… 주인님의 정액을 먹었더니 나…… …… 싫어, 몸이 달아올라 버렸어……
うん……部屋に移動しよう。	응…… 방으로 이동하자.
俺だってまだまだ、このままじゃ物足りない。	나도 아직 이대로는 부족하다.
うんっ……ご主人様ぁ……アタシのことも、いっぱい可愛がってね……？	응…… 주인님…… 나를 잔뜩 귀여워해줘……?
ねぇ……ご主人様ぁ……キスして……？	저기…… 주인님…… 키스해줘……?
ちゅっ……んっ……ちゅ……ごめんね、ご主人様……アタシ、全然我慢できないの……	…… …… …… 미안해, 주인님…… 나, 정말 못 참겠어……
んちゅっ……じゅるっ……ちゅ、ちゅ……アタシ、だめかも……キスだけじゃ、物足りない……	…… …… …… 나, 안될 것 같아…… 키스만으로는 부족해……
ご主人様ぁ……アタシ、もう……ご、ご主人様のが、ほしくなっちゃって……だから、ね？	주인님…… 나 이제…… 주, 주인님의 거기가 갖고 싶어져버렸으……니까?
こんなところでいいの？	이런데서 괜찮은 거야?
いいのっ……アタシ、夜伽に誘われたときから……その、早くしたくてたまらなかったんだから……	괜찮아…… 나, 밤시중에 불렸을때부터…… 그, 빨리 하고 싶어서 참을 수 없었으니까……
だから……アタシのアソコ、ご主人様ので、埋めてほしいの……	그러니까…… 나의 저기, 주인님의 것으로, 묻기를 원하는거야……
……ほらぁ……アタシ、もう……こんなになっちゃってるんだからぁ……	…… 자…… 나, 이제…… 이렇게 되어 버렸으니까……
……部屋に行ってからじゃだめなの？	…… 방에 가서 하면 안돼?
だめ、だめなの……意地悪しないで、入れて……？　ね……？	안돼, 안된다구…… 심술부리지 말고 넣어……? 응……?
うぅ……ご主人様の熱いの、ほしいの……アタシとセックスして……んく…………お願い、お願いだからぁ……	…… 주인님의 뜨거운 걸 갖고 싶어…… 나랑 섹스 해…… ………… 부탁해, 부탁이니까……
も、もう待てないのっ……アタシのはしたないアソコに、ご主人様の入れてくれないと……アタシ、おかしくなっちゃうからぁっ……！	이, 이제 못 기다려…… 내 부끄러운 곳에 주인님의 거기를 넣어 주지 않으면…… 나 이상해져 버릴 거야……!
しょうがないなぁ……	어쩔 수 없네……
そのまますぐに、俺は激しく腰を動かし始める。	그대로 나는 격렬하게 허리를 움직이기 시작한다.
ふぁぁっ……！　あっ、やった、ああ、んっ……！　ご主人様の、入ってきたぁ……はぁ、あっ、んんっ……！	…… 앗, 됐다……! 주인님이 들어 왔어…… 하아……!
んぁあっ、あ、しかも、いきなりこんなに激しいなんてぇっ……！　んっ、んくぅん、ああっ……！	그런데 갑자기 이렇게 격렬하다니……! ……
すごい濡れてたからね。激しくしてほしいのかなって。	엄청 젖어 있었으니까. 격렬하게 해줬으면 하는 건가 싶어서.
あぅ、あっ、んんっ……！　そう、そうなのっ……あ、アタシ、ご主人様にキスされて、いっぱい濡らしてたのっ……！	…… 그, 맞아…… 나, 나 주인님에게 키스받아서 잔뜩 젖었어……!
はぁ、はぁっ……こ、こんなエッチなメイドで、ごめんなさいぃ……んっ、くぅ、あぁっ……！　ご主人様の熱いっ……！	하앗…… 이, 이런 야한 메이드라서 미안해…………! 주인님의 거기 뜨거워……!
抽送を始めたばかりなのに、愛液が隙間からどんどん溢れてくる。	삽입을 시작한 직후인데도, 벌어진 곳에서 애액이 계속 흘러넘친다.
ごめんなさい、んっ、んっ……！　こんなところでおねだりして、ごめんなさいっ……でもっ、んんんっ……ああぁっ……！	미안해……! 이런데서 졸라서 미안해…… 그래도…… ……!
ご、ご主人様の、気持ちいいのぉっ！　太いので、奥まで、ずんずんってっ……！　あっ、あぁ、んぁああっ！	주, 주인님의 거기 기분 좋아! 굵어서 안쪽까지 찔꺽찔꺽……!
あん、んっ、ひぁぁっ！　あ、アタシ、エッチなのっ……ご主人様のが、好きで、もうだめになっちゃってるのっ、んっ、んっ、んくぅ！	……나, 나, 야한 거야…… 주인님의 거기가 좋아서 이제 안될 것 같아…… ……!
